Model,HUB Perplexity,HUB WER,Parameters
bigram,599.1994987048583,0.08067664281067013,Lambda: 0.6
bigram,598.1628735580465,0.08067664281067013,Lambda: 0.61
bigram,597.2940179561418,0.08067664281067013,Lambda: 0.62
bigram,596.5954603453337,0.08002602472348731,Lambda: 0.63
bigram,596.070346680775,0.08002602472348731,Lambda: 0.64
bigram,595.7224891699417,0.08002602472348731,Lambda: 0.65
bigram,595.5564244213799,0.07742355237475602,Lambda: 0.66
bigram,595.577482574884,0.07677293428757319,Lambda: 0.67
bigram,595.791869360211,0.07677293428757319,Lambda: 0.68
bigram,596.2067634977566,0.07677293428757319,Lambda: 0.6900000000000001
bigram,596.8304324453942,0.07677293428757319,Lambda: 0.7000000000000001
bigram,597.6723702501497,0.07677293428757319,Lambda: 0.7100000000000001
bigram,598.743462235023,0.07677293428757319,Lambda: 0.7200000000000001
bigram,600.056182513986,0.07677293428757319,Lambda: 0.7300000000000001
bigram,601.6248319833404,0.07677293428757319,Lambda: 0.7400000000000001
bigram,603.4658266289708,0.07677293428757319,Lambda: 0.7500000000000001
bigram,605.5980489193083,0.07612231620039037,Lambda: 0.7600000000000001
bigram,608.0432790155136,0.07286922576447626,Lambda: 0.7700000000000001
bigram,610.826727949097,0.07286922576447626,Lambda: 0.7800000000000001
bigram,613.9777024229478,0.07482108002602472,Lambda: 0.7900000000000001
bigram,617.5304414305546,0.07286922576447626,Lambda: 0.8000000000000002
bigram,621.5251799066574,0.07286922576447626,Lambda: 0.8100000000000002
bigram,626.0095163729889,0.07026675341574495,Lambda: 0.8200000000000002
bigram,631.04019360545,0.07026675341574495,Lambda: 0.8300000000000002
bigram,636.6854495443142,0.06961613532856213,Lambda: 0.8400000000000002
bigram,643.0281696952164,0.06961613532856213,Lambda: 0.8500000000000002
bigram,650.1701887396385,0.06896551724137931,Lambda: 0.8600000000000002
bigram,658.2382773362447,0.06831489915419649,Lambda: 0.8700000000000002
bigram,667.3926638166835,0.06831489915419649,Lambda: 0.8800000000000002
bigram,677.8394817361967,0.06831489915419649,Lambda: 0.8900000000000002
bigram,689.8495061085738,0.06831489915419649,Lambda: 0.9000000000000002
bigram,703.78736926399,0.06831489915419649,Lambda: 0.9100000000000003
bigram,720.1590799126612,0.06896551724137931,Lambda: 0.9200000000000003
bigram,739.6933787507361,0.06831489915419649,Lambda: 0.9300000000000003
bigram,763.490202324716,0.06766428106701367,Lambda: 0.9400000000000003
bigram,793.3147078983633,0.07026675341574495,Lambda: 0.9500000000000003
bigram,832.246763504612,0.07091737150292778,Lambda: 0.9600000000000003
bigram,886.3553832540885,0.07026675341574495,Lambda: 0.9700000000000003
bigram,970.1879327695917,0.07156798959011061,Lambda: 0.9800000000000003
bigram,1135.0302503370203,0.07286922576447626,Lambda: 0.9900000000000003
